journal	journal_abbrev	articles	publication_days_mean	publication_days_median	publication_days_max	publication_days_min	publication_days_geq_100	acceptance_days_mean	acceptance_days_median	acceptance_days_max	acceptance_days_min	total_articles
AAPS PharmSciTech	AAPS PharmSciTech	282	32.968085106383	27	210	8	0.024822695035461	116.404255319149	108	447	1	287
ACS macro letters	ACS Macro Lett	17	6.29411764705882	5	22	1	0	54.4705882352941	44	105	8	23
ACS medicinal chemistry letters	ACS Med Chem Lett	59	6.91525423728814	5	62	1	0	65.2033898305085	57	150	6	589
AIDS research and therapy	AIDS Res Ther	60	18.4166666666667	13.5	65	3	0	139.433333333333	136	336	23	61
AIDS research and treatment	AIDS Res Treat	41	29.5853658536585	26	66	7	0	116.292682926829	111	226	32	43
AIP advances	AIP Adv	5	43	9	176	8	0.2	48.2	43	89	16	5
AJNR. American journal of neuroradiology	AJNR Am J Neuroradiol	85	86.2470588235294	81	184	39	0.235294117647059	86.6352941176471	73	713	2	531
AJP reports	AJP Rep	25	93.52	79	363	49	0.2	78.92	67	435	14	25
ALTEX	ALTEX	31	12.3870967741935	8	48	2	0	90.6451612903226	90	192	5	59
AMB Express	AMB Express	106	36.9150943396226	29	121	7	0.0471698113207547	46.7924528301887	38.5	172	1	108
AORN journal	AORN J	29	123.827586206897	72	444	37	0.379310344827586	69.551724137931	50	254	6	273
APMIS : acta pathologica, microbiologica, et immunologica Scandinavica	APMIS	164	82.1646341463415	82	180	20	0.213414634146341	121.237804878049	100.5	393	3	189
APSP journal of case reports	APSP J Case Rep	77	83.7792207792208	78	284	11	0.25974025974026	38.1948051948052	33	146	2	79
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad Emerg Med	121	135.561983471074	141	210	27	0.900826446280992	79.297520661157	77	247	1	347
Academic pediatrics	Acad Pediatr	73	72.1095890410959	64	214	28	0.219178082191781	158.739726027397	129	445	1	195
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	348	61.8362068965517	40.5	340	11	0.152298850574713	132.686781609195	130	679	1	356
Academic radiology	Acad Radiol	205	67.8048780487805	59	302	10	0.131707317073171	90.9170731707317	82	303	1	358
Accident; analysis and prevention	Accid Anal Prev	472	20.8262711864407	19	136	3	0.00635593220338983	197.682203389831	170	981	31	480
Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	125	46.52	45	106	19	0.008	83.464	55	412	1	312
Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists	Acta Anaesthesiol Taiwan	66	91.5757575757576	79.5	211	8	0.409090909090909	126.121212121212	107.5	390	2	71
Acta bio-medica : Atenei Parmensis	Acta Biomed	60	154.433333333333	151	406	16	0.666666666666667	81.1333333333333	58	478	1	121
Acta biochimica Polonica	Acta Biochim Pol	142	37.4366197183099	26	217	1	0.0140845070422535	161.654929577465	134.5	511	1	213
Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	19	63.7368421052632	63	111	37	0.0526315789473684	92.6315789473684	73	393	20	214
Acta biomaterialia	Acta Biomater	698	8.75644699140401	8	43	4	0	127.287965616046	121	554	14	702
Acta biotheoretica	Acta Biotheor	43	15.953488372093	12	74	4	0	209.046511627907	191	476	7	44
Acta cirurgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia	Acta Cir Bras	9	14.6666666666667	14	20	13	0	89.8888888888889	89	92	89	229
Acta crystallographica Section B, Structural science, crystal engineering and materials	Acta Crystallogr B Struct Sci Cryst Eng Mater	151	64.2516556291391	61	160	6	0.178807947019868	99.0596026490066	91	250	1	157
Acta crystallographica. Section A, Foundations and advances	Acta Crystallogr A Found Adv	84	63.8095238095238	63	134	5	0.0833333333333333	90.4404761904762	82.5	243	2	88
Acta crystallographica. Section C, Structural chemistry	Acta Crystallogr C Struct Chem	327	18.5596330275229	12	379	2	0.0214067278287462	50.3241590214067	43	261	1	330
Acta crystallographica. Section D, Biological crystallography	Acta Crystallogr D Biol Crystallogr	443	73.6975169300226	67	335	16	0.137697516930023	94.8758465011287	82	483	1	448
Acta crystallographica. Section E, Crystallographic communications	Acta Crystallogr E Crystallogr Commun	517	11.8123791102515	8	46	2	0	15.5976789168279	10	159	1	523
Acta crystallographica. Section E, Structure reports online	Acta Crystallogr Sect E Struct Rep Online	1707	9.27357937902753	7	110	1	0.000585823081429408	19.0427650849443	11	290	1	1752
Acta crystallographica. Section F, Structural biology communications	Acta Crystallogr F Struct Biol Commun	469	34.5074626865672	31	143	3	0.0149253731343284	56.7654584221748	52	210	1	474
Acta cytologica	Acta Cytol	102	59.6862745098039	58	123	12	0.0588235294117647	85.4411764705882	79	237	1	105
Acta diabetologica	Acta Diabetol	227	26.2863436123348	21	193	6	0.0176211453744493	75.8942731277533	71	265	1	231
Acta ethologica	Acta Ethol	3	19.3333333333333	18	23	17	0	207	98	426	97	4
Acta haematologica	Acta Haematol	118	140.491525423729	134.5	267	39	0.771186440677966	108.491525423729	85.5	469	1	162
Acta histochemica	Acta Histochem	189	32.2010582010582	31	175	8	0.00529100529100529	64.3915343915344	56	301	1	198
Acta histochemica et cytochemica	Acta Histochem Cytochem	45	52.1777777777778	54	100	18	0.0222222222222222	80.0444444444445	81	297	7	45
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH	Acta Inform Med	111	36.6036036036036	21	211	1	0.0720720720720721	56.1801801801802	53	123	7	128
Acta medica Iranica	Acta Med Iran	1	173	173	173	173	1	250	250	250	250	293
Acta medica portuguesa	Acta Med Port	198	167.015151515152	157.5	436	4	0.732323232323232	107.722222222222	110.5	303	1	238
Acta neurochirurgica	Acta Neurochir (Wien)	478	21.5251046025105	19.5	61	8	0	63.673640167364	60	354	1	486
Acta neurologica Belgica	Acta Neurol Belg	226	18.4247787610619	15.5	120	4	0.00884955752212389	74.4336283185841	62	397	3	226
Acta neuropathologica	Acta Neuropathol	201	13.9054726368159	13	40	3	0	69.2835820895522	60	498	1	214
Acta neuropathologica communications	Acta Neuropathol Commun	164	21.2743902439024	17	77	2	0	28.4878048780488	28	267	1	184
Acta obstetricia et gynecologica Scandinavica	Acta Obstet Gynecol Scand	246	33.7317073170732	35	142	2	0.0040650406504065	166.130081300813	156.5	685	1	367
Acta ophthalmologica	Acta Ophthalmol	296	55.4358108108108	47	240	17	0.0709459459459459	161.341216216216	148	523	8	459
Acta otorrinolaringologica espanola	Acta Otorrinolaringol Esp	129	114.922480620155	101	323	27	0.51937984496124	71.7596899224806	56	346	2	129
Acta paediatrica (Oslo, Norway : 1992)	Acta Paediatr	382	34.5916230366492	32	169	1	0.00785340314136126	131.94502617801	125.5	462	1	519
Acta parasitologica / Witold Stefanski Institute of Parasitology, Warszawa, Poland	Acta Parasitol	106	81.0188679245283	80.5	140	37	0.292452830188679	178.528301886792	160	559	14	106
Acta pharmacologica Sinica	Acta Pharmacol Sin	217	95.3548387096774	88	265	21	0.359447004608295	96.0138248847926	92	284	10	247
Acta physiologica (Oxford, England)	Acta Physiol (Oxf)	181	25.8232044198895	25	58	3	0	123.436464088398	107	362	7	281
Acta psychologica	Acta Psychol (Amst)	228	25.1973684210526	22	104	6	0.0043859649122807	231.508771929825	211	768	16	233
Acta radiologica (Stockholm, Sweden : 1987)	Acta Radiol	52	49.7115384615385	48	141	27	0.0192307692307692	157.5	134	487	33	310
Acta radiologica open	Acta Radiol Open	17	105.764705882353	96	193	43	0.470588235294118	102.647058823529	106	219	36	18
Acta radiologica short reports	Acta Radiol Short Rep	49	104.081632653061	67	355	28	0.346938775510204	94.265306122449	79	429	18	53
Acta theriologica	Acta Theriol (Warsz)	4	22.5	22.5	32	13	0	80.5	91	113	27	4
Acta tropica	Acta Trop	389	11.305912596401	9	194	1	0.0025706940874036	143.033419023136	117	552	1	394
Acta veterinaria Scandinavica	Acta Vet Scand	102	15.3823529411765	11	59	1	0	180.833333333333	164	469	47	124
Actas dermo-sifiliograficas	Actas Dermosifiliogr	281	99.3416370106762	78	600	20	0.352313167259786	99.8185053380783	92	419	1	297
Actas urologicas espanolas	Actas Urol Esp	159	78.2893081761006	61	276	21	0.238993710691824	44	25	214	1	169
Addiction (Abingdon, England)	Addiction	263	46.8745247148289	46	120	3	0.0152091254752852	197.471482889734	194	519	1	544
Addiction research & theory	Addict Res Theory	1	44	44	44	44	0	196	196	196	196	16
Addiction science & clinical practice	Addict Sci Clin Pract	39	23.3846153846154	12	219	2	0.0256410256410256	209.820512820513	189	529	19	40
Addictive behaviors	Addict Behav	448	9.43526785714286	8	63	3	0	150.216517857143	143	572	13	455
Adipocyte	Adipocyte	35	11.7714285714286	8	32	2	0	51.8857142857143	49	124	13	38
Advanced biomedical research	Adv Biomed Res	382	345.806282722513	324.5	749	5	0.950261780104712	136.015706806283	101	784	1	401
Advanced drug delivery reviews	Adv Drug Deliv Rev	233	9.46781115879828	8	69	3	0	136.55364806867	115	396	2	253
Advanced engineering materials	Adv Eng Mater	1	29	29	29	29	0	73	73	73	73	2
Advanced pharmaceutical bulletin	Adv Pharm Bull	109	130.54128440367	114	466	2	0.596330275229358	72.2293577981651	62	282	4	110
Advances in bioinformatics	Adv Bioinformatics	32	40.6875	33	132	11	0.03125	96.84375	85	194	45	32
Advances in biological regulation	Adv Biol Regul	34	16.7352941176471	14	40	7	0	10.5	5	97	1	39
Advances in chronic kidney disease	Adv Chronic Kidney Dis	6	73.6666666666667	60	119	49	0.166666666666667	105.333333333333	108.5	180	4	103
Advances in cognitive psychology / University of Finance and Management in Warsaw	Adv Cogn Psychol	18	95.5	101	215	21	0.5	59	46.5	251	2	19
Advances in colloid and interface science	Adv Colloid Interface Sci	171	12.1520467836257	10	151	4	0.00584795321637427	118.590643274854	101	553	1	174
Advances in eating disorders (Abingdon, England )	Adv Eat Disord	1	45	45	45	45	0	53	53	53	53	5
Advances in health sciences education : theory and practice	Adv Health Sci Educ Theory Pract	128	21.5	14	100	5	0.0078125	212.4296875	200.5	587	4	137
Advances in hematology	Adv Hematol	36	29.8333333333333	23.5	70	9	0	87.9166666666667	85	164	36	36
Advances in life course research	Adv Life Course Res	53	11.811320754717	10	34	6	0	226	201	579	32	56
Advances in medical sciences	Adv Med Sci	99	88.7979797979798	27	282	7	0.404040404040404	179.59595959596	166	415	16	106
Advances in orthopedics	Adv Orthop	46	25.195652173913	19.5	87	8	0	97.2608695652174	91	209	7	47
Advances in pharmacological sciences	Adv Pharmacol Sci	40	43.925	38.5	195	12	0.025	63.075	61	125	6	40
Advances in preventive medicine	Adv Prev Med	25	30.68	25	120	8	0.04	96.92	86	183	18	26
Advances in urology	Adv Urol	41	42.8536585365854	25	169	8	0.0487804878048781	98.2682926829268	100	215	29	41
Advances in virology	Adv Virol	17	36.6470588235294	30	97	6	0	83.2941176470588	74	171	42	17
Aerobiologia	Aerobiologia (Bologna)	8	13.625	13.5	21	6	0	212.875	175	447	104	8
Aesthetic plastic surgery	Aesthetic Plast Surg	241	34.8423236514523	33	113	8	0.012448132780083	136.141078838174	117	758	1	245
Age (Dordrecht, Netherlands)	Age (Dordr)	186	18.8064516129032	16	67	7	0	151.510752688172	133	525	23	192
Age and ageing	Age Ageing	63	81.3492063492064	78	263	19	0.301587301587302	149.555555555556	135	428	12	235
Ageing research reviews	Ageing Res Rev	99	12.9393939393939	9	81	2	0	111.585858585859	103	437	1	102
Aggressive behavior	Aggress Behav	74	55.2297297297297	52	121	27	0.0405405405405405	260.567567567568	262	765	21	77
Aging and disease	Aging Dis	61	111.885245901639	50	381	1	0.377049180327869	61.5081967213115	50	271	4	63
Aging clinical and experimental research	Aging Clin Exp Res	199	27.9497487437186	19	222	5	0.0552763819095477	111.266331658291	99	412	8	200
Air medical journal	Air Med J	18	126.555555555556	118	209	78	0.777777777777778	119.5	100.5	298	11	104
Air quality, atmosphere, & health	Air Qual Atmos Health	7	25.1428571428571	23	51	12	0	125	89	347	27	11
Alcohol (Fayetteville, N.Y.)	Alcohol	103	53.8543689320388	36	189	7	0.194174757281553	129.223300970874	108	380	17	130
Alcohol and alcoholism (Oxford, Oxfordshire)	Alcohol Alcohol	30	26.6666666666667	26	43	17	0	141.633333333333	124	346	56	164
Alcoholism, clinical and experimental research	Alcohol Clin Exp Res	291	70.7216494845361	69	197	29	0.0927835051546392	142.707903780069	126	497	2	426
Algorithmica	Algorithmica	1	16	16	16	16	0	168	168	168	168	2
Algorithms for molecular biology : AMB	Algorithms Mol Biol	42	30.4761904761905	25	203	5	0.0238095238095238	178.52380952381	133.5	515	19	43
Alimentary pharmacology & therapeutics	Aliment Pharmacol Ther	347	23.9971181556196	23	57	13	0	91.5792507204611	72	668	9	691
Allergologia et immunopathologia	Allergol Immunopathol (Madr)	114	129.5	128	309	14	0.885964912280702	91.9824561403509	87.5	252	6	122
Allergology international : official journal of the Japanese Society of Allergology	Allergol Int	60	101.1	110	175	40	0.6	83.7833333333333	66	377	13	123
Allergy	Allergy	1	86	86	86	86	0	159	159	159	159	345
Allergy, asthma & immunology research	Allergy Asthma Immunol Res	146	147.534246575342	141.5	350	18	0.767123287671233	107.554794520548	98	338	1	156
Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology	Allergy Asthma Clin Immunol	87	18.9770114942529	16	93	3	0	101.827586206897	91	241	13	92
Alternative therapies in health and medicine	Altern Ther Health Med	1	33	33	33	33	0	140	140	140	140	100
Alzheimer's & dementia : the journal of the Alzheimer's Association	Alzheimers Dement	181	97.9723756906077	86	482	16	0.370165745856354	193.39226519337	175	542	3	232
Alzheimer's research & therapy	Alzheimers Res Ther	72	44.4583333333333	35	96	3	0	172.513888888889	160.5	509	3	130
Ambio	Ambio	99	31.5050505050505	27	109	9	0.0101010101010101	184.252525252525	172	484	11	185
American heart journal	Am Heart J	345	19.4811594202899	14	130	2	0.00579710144927536	143.063768115942	122	699	1	396
American journal of blood research	Am J Blood Res	15	44.7333333333333	31	111	6	0.133333333333333	38.8	26	146	3	16
American journal of botany	Am J Bot	43	29.906976744186	29	54	16	0	127.232558139535	126	275	9	287
American journal of cancer research	Am J Cancer Res	180	26.7944444444444	25	82	3	0	44.7166666666667	45	202	9	204
American journal of cardiovascular disease	Am J Cardiovasc Dis	27	30.037037037037	16	210	3	0.037037037037037	52.0740740740741	52	138	3	28
American journal of clinical and experimental immunology	Am J Clin Exp Immunol	12	49.6666666666667	36	170	12	0.0833333333333333	39.5833333333333	23.5	79	15	12
American journal of clinical and experimental urology	Am J Clin Exp Urol	41	19.5609756097561	17	87	1	0	27.4878048780488	15	103	1	46
American journal of epidemiology	Am J Epidemiol	61	134.83606557377	134	240	49	0.901639344262295	135.918032786885	128	319	2	504
American journal of hematology	Am J Hematol	339	32.9941002949853	27	144	2	0.0117994100294985	36.4631268436578	15	299	1	446
American journal of human biology : the official journal of the Human Biology Council	Am J Hum Biol	202	29.2227722772277	23	135	11	0.0099009900990099	137.752475247525	124.5	493	17	209
American journal of human genetics	Am J Hum Genet	175	30.9028571428571	29	62	15	0	82.1485714285714	75	369	20	255
American journal of hypertension	Am J Hypertens	51	49.3725490196078	43	146	26	0.0196078431372549	78.0588235294118	76	441	1	367
American journal of industrial medicine	Am J Ind Med	1	24	24	24	24	0	1	1	1	1	192
American journal of infection control	Am J Infect Control	294	62.1530612244898	50	158	25	0.115646258503401	87.4285714285714	81.5	457	1	576
American journal of kidney diseases : the official journal of the National Kidney Foundation	Am J Kidney Dis	348	64.9425287356322	59	389	4	0.0718390804597701	119.764367816092	116	351	1	518
American journal of medical genetics. Part A	Am J Med Genet A	716	65.4958100558659	53	522	9	0.129888268156425	152.738826815642	133	653	1	813
American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics	Am J Med Genet B Neuropsychiatr Genet	111	39.4954954954955	32	272	11	0.018018018018018	157.990990990991	147	383	3	119
American journal of nephrology	Am J Nephrol	154	52.1688311688312	47	411	22	0.012987012987013	87.6298701298701	71.5	386	7	175
American journal of neurodegenerative disease	Am J Neurodegener Dis	14	30.8571428571429	28.5	61	16	0	32	28.5	123	2	16
American journal of nuclear medicine and molecular imaging	Am J Nucl Med Mol Imaging	76	57.4210526315789	53	113	9	0.0789473684210526	41.0657894736842	31	151	4	80
American journal of obstetrics and gynecology	Am J Obstet Gynecol	785	5.93248407643312	3	126	1	0.00254777070063694	84.1248407643312	86	447	1	833
American journal of ophthalmology	Am J Ophthalmol	471	10.9214437367304	7	102	2	0.00424628450106157	113.908704883227	101	525	1	600
American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics	Am J Orthod Dentofacial Orthop	25	111.92	119	361	43	0.52	80.16	91	365	1	443
American journal of otolaryngology	Am J Otolaryngol	279	10.7311827956989	7	164	2	0.010752688172043	43.0501792114695	31	406	1	280
American journal of physical anthropology	Am J Phys Anthropol	253	20.5138339920949	16	105	7	0.00790513833992095	151.422924901186	136	469	2	275
American journal of physiology. Cell physiology	Am J Physiol Cell Physiol	47	5.17021276595745	5	15	1	0	121.723404255319	102	286	4	335
American journal of physiology. Endocrinology and metabolism	Am J Physiol Endocrinol Metab	56	5.76785714285714	6	14	1	0	116.821428571429	105.5	360	29	348
American journal of physiology. Gastrointestinal and liver physiology	Am J Physiol Gastrointest Liver Physiol	37	8.43243243243243	8	35	1	0	152.864864864865	140	301	25	316
American journal of physiology. Heart and circulatory physiology	Am J Physiol Heart Circ Physiol	90	8.53333333333333	4	68	1	0	137.488888888889	121.5	606	20	556
American journal of physiology. Lung cellular and molecular physiology	Am J Physiol Lung Cell Mol Physiol	60	5.41666666666667	4	25	1	0	140.2	115.5	419	23	336
American journal of physiology. Regulatory, integrative and comparative physiology	Am J Physiol Regul Integr Comp Physiol	54	7.07407407407407	6	40	1	0	145.333333333333	133	403	25	394
American journal of physiology. Renal physiology	Am J Physiol Renal Physiol	82	5.79268292682927	6	26	1	0	147.036585365854	134.5	406	23	463
American journal of preventive medicine	Am J Prev Med	230	78.3565217391304	77	157	32	0.2	166.765217391304	161	596	3	445
American journal of primatology	Am J Primatol	174	48.3505747126437	39	162	14	0.0517241379310345	165.64367816092	142	498	6	178
American journal of reproductive immunology (New York, N.Y. : 1989)	Am J Reprod Immunol	182	33.3076923076923	30	323	15	0.010989010989011	71.3461538461538	59.5	421	1	193
American journal of stem cells	Am J Stem Cells	16	68.125	46	201	10	0.25	30.625	17	186	4	16
American journal of surgery	Am J Surg	533	83.3508442776735	74	666	4	0.303939962476548	102.62851782364	89	756	1	543
American journal of translational research	Am J Transl Res	135	36.9111111111111	37	117	4	0.00740740740740741	50.6222222222222	43	395	5	136
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons	Am J Transplant	554	87.398916967509	80	202	34	0.310469314079422	107.092057761733	91	520	1	735
Amino acids	Amino Acids	362	19.9585635359116	18	80	5	0	103.157458563536	86.5	549	1	369
Anaerobe	Anaerobe	200	10.185	9	59	1	0	124.79	102	535	1	210
Anaesthesia, critical care & pain medicine	Anaesth Crit Care Pain Med	34	193.441176470588	204.5	309	50	0.852941176470588	175.5	151.5	519	9	44
Anaesthesiology intensive therapy	Anaesthesiol Intensive Ther	23	28.2608695652174	13	167	1	0.0869565217391304	59.304347826087	37	265	3	113
Anais da Academia Brasileira de Ciencias	An Acad Bras Cienc	173	213.942196531792	200	722	20	0.919075144508671	189.693641618497	165	603	18	255
Anales de pediatria (Barcelona, Spain : 2003)	An Pediatr (Barc)	393	59.1959287531807	43	288	15	0.129770992366412	66.3282442748092	55	654	1	414
Analytica chimica acta	Anal Chim Acta	950	5.84631578947368	5	70	1	0	92.6021052631579	80	567	4	954
Analytical and bioanalytical chemistry	Anal Bioanal Chem	1128	26.008865248227	23	96	8	0	73.8927304964539	69	418	1	1225
Analytical biochemistry	Anal Biochem	518	10.7606177606178	9	73	3	0	85.0675675675676	76.5	633	6	521
Analytical cellular pathology (Amsterdam)	Anal Cell Pathol (Amst)	11	50.0909090909091	31	125	14	0.181818181818182	106.272727272727	90	199	74	18
Analytical chemistry insights	Anal Chem Insights	11	64.2727272727273	61	107	32	0.181818181818182	64.6363636363636	54	106	39	12
Analytical methods : advancing methods and applications	Anal Methods	1	14	14	14	14	0	55	55	55	55	18
Anatomia, histologia, embryologia	Anat Histol Embryol	82	42.109756097561	41.5	91	14	0	216.780487804878	187	533	1	90
Anatomical record (Hoboken, N.J. : 2007)	Anat Rec (Hoboken)	189	71.6931216931217	54	249	9	0.164021164021164	170.185185185185	145	765	3	329
Anatomical science international	Anat Sci Int	65	18.4769230769231	17	44	8	0	102.169230769231	93	315	3	65
Anatomical sciences education	Anat Sci Educ	102	30.421568627451	26	75	12	0	155.549019607843	145	513	5	113
Anatomy & cell biology	Anat Cell Biol	64	76.90625	62.5	239	6	0.21875	125.234375	77.5	573	8	65
Anatomy research international	Anat Res Int	31	27.2258064516129	24	54	8	0	89.3225806451613	79	269	15	31
Andrology	Andrology	155	55.8774193548387	46	401	20	0.0709677419354839	108.748387096774	92	281	3	181
Anemia	Anemia	24	25.6666666666667	25.5	50	8	0	102.833333333333	102	208	35	24
Anesthesiology and pain medicine	Anesth Pain Med	112	116.803571428571	119.5	272	14	0.589285714285714	77.5267857142857	59	474	7	114
Anesthesiology research and practice	Anesthesiol Res Pract	27	27.4444444444444	26	80	6	0	98.6666666666667	92	199	52	27
Angiogenesis	Angiogenesis	55	12.8727272727273	10	50	4	0	154.872727272727	132	575	4	57
Animal cells and systems	Animal Cells Syst (Seoul)	1	56	56	56	56	0	31	31	31	31	1
Animal cognition	Anim Cogn	150	14.0933333333333	13	47	5	0	149.786666666667	135	474	16	156
Animal conservation	Anim. Conserv.	1	61	61	61	61	0	274	274	274	274	1
Animal reproduction science	Anim Reprod Sci	336	12.4166666666667	11	47	3	0	168.535714285714	137.5	645	45	337
Animal science journal = Nihon chikusan Gakkaiho	Anim Sci J	204	119.862745098039	115.5	305	58	0.720588235294118	125.71568627451	109.5	368	3	207
Annalen der Physik	Ann Phys	2	35	35	36	34	0	43	43	43	43	2
Annales d'endocrinologie	Ann Endocrinol (Paris)	48	60.6875	50.5	214	6	0.104166666666667	125.645833333333	96.5	608	1	92
Annales de cardiologie et d'angeiologie	Ann Cardiol Angeiol (Paris)	113	22.716814159292	19	79	9	0	121.486725663717	51	656	1	131
Annales de chirurgie plastique et esthetique	Ann Chir Plast Esthet	130	35.8846153846154	31	203	4	0.0153846153846154	53.5461538461538	44	284	1	138
Annales de dermatologie et de venereologie	Ann Dermatol Venereol	225	53.3377777777778	47	271	22	0.04	133.568888888889	120	527	5	352
Annales de pathologie	Ann Pathol	106	51.6981132075472	47	119	18	0.0188679245283019	141.594339622642	8	947	1	128
Annales francaises d'anesthesie et de reanimation	Ann Fr Anesth Reanim	137	51.963503649635	43	372	20	0.0510948905109489	129.14598540146	104	655	1	194
Annales pharmaceutiques francaises	Ann Pharm Fr	91	38.2637362637363	35	68	13	0	78.4615384615385	70	234	2	96
Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology	Ann Allergy Asthma Immunol	329	30.6048632218845	28	138	9	0.00911854103343465	79.1854103343465	73	282	1	436
Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft	Ann Anat	109	25.8807339449541	23	59	10	0	105.045871559633	93	451	16	113
Annals of biomedical engineering	Ann Biomed Eng	379	14.0844327176781	12	195	5	0.00263852242744063	115.522427440633	108	613	5	395
Annals of botany	Ann Bot	21	51	47	77	25	0	97.2857142857143	77	183	16	330
Annals of clinical and translational neurology	Ann Clin Transl Neurol	145	45.9931034482759	41	125	17	0.0275862068965517	60.3310344827586	49	275	1	185
Annals of clinical microbiology and antimicrobials	Ann Clin Microbiol Antimicrob	90	17.9444444444444	14	71	2	0	98.2111111111111	91	224	26	91
Annals of coloproctology	Ann Coloproctol	63	141.555555555556	139	294	21	0.634920634920635	84.4126984126984	74	278	3	106
Annals of dermatology	Ann Dermatol	262	331.587786259542	335	731	57	0.980916030534351	136.889312977099	114.5	530	6	285
Annals of diagnostic pathology	Ann Diagn Pathol	98	11.1224489795918	7	71	3	0	56.3673469387755	33	427	1	104
Annals of dyslexia	Ann Dyslexia	18	48.1666666666667	42.5	109	21	0.111111111111111	247.333333333333	237.5	461	109	18
Annals of emergency medicine	Ann Emerg Med	214	46.1261682242991	36	246	15	0.0560747663551402	118.883177570093	99	657	1	499
Annals of epidemiology	Ann Epidemiol	215	12.9953488372093	10	116	2	0.00465116279069767	134.46976744186	126	372	2	229
Annals of general psychiatry	Ann Gen Psychiatry	48	18.6875	16	51	4	0	128.104166666667	100	393	1	49
Annals of global health	Ann Glob Health	3	43.6666666666667	6	119	6	0.333333333333333	198	268	272	54	69
Annals of hematology	Ann Hematol	421	21.4703087885986	16	180	4	0.0261282660332542	90.6294536817102	72	781	1	430
Annals of human genetics	Ann Hum Genet	60	60.7166666666667	57.5	108	35	0.0166666666666667	103.983333333333	92.5	242	18	72
Annals of intensive care	Ann Intensive Care	55	24.0181818181818	20	132	4	0.0181818181818182	115.163636363636	118	202	18	55
Annals of laboratory medicine	Ann Lab Med	171	62.0526315789474	56	181	7	0.134502923976608	164.824561403509	161	437	25	174
Annals of medicine and surgery (2012)	Ann Med Surg (Lond)	66	25.8787878787879	12	97	2	0	92.9090909090909	89.5	291	18	70
Annals of microbiology	Ann Microbiol	9	24.6666666666667	24	39	14	0	156	149	233	68	9
Annals of neurology	Ann Neurol	295	37.9423728813559	32	481	1	0.0169491525423729	125.44406779661	110	657	1	384
Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc	Ann Noninvasive Electrocardiol	3	48	50	64	30	0	84	84	98	70	165
Annals of nuclear medicine	Ann Nucl Med	184	17.9619565217391	15	90	4	0	110.972826086957	99.5	415	2	187
Annals of nutrition & metabolism	Ann Nutr Metab	69	88.9275362318841	74	288	29	0.27536231884058	106.04347826087	88	353	9	150
Annals of occupational and environmental medicine	Ann Occup Environ Med	99	39.3636363636364	33	127	5	0.0303030303030303	136.69696969697	119	581	1	101
Annals of oncology : official journal of the European Society for Medical Oncology / ESMO	Ann Oncol	120	16.325	11.5	155	3	0.00833333333333333	120.65	99	382	1	665
Annals of pediatric endocrinology & metabolism	Ann Pediatr Endocrinol Metab	75	39.7333333333333	17	198	1	0.146666666666667	42.1066666666667	32	260	1	80
Annals of physical and rehabilitation medicine	Ann Phys Rehabil Med	76	41.6710526315789	22	149	11	0.105263157894737	196.223684210526	138.5	746	1	105
Annals of rehabilitation medicine	Ann Rehabil Med	192	198.411458333333	189	550	29	0.932291666666667	93.609375	85	324	10	197
Annals of surgical innovation and research	Ann Surg Innov Res	10	14.9	14	27	5	0	140.2	134.5	229	40	10
Annals of surgical treatment and research	Ann Surg Treat Res	170	140.6	142.5	380	31	0.776470588235294	50.7235294117647	51	159	2	175
Annals of the New York Academy of Sciences	Ann N Y Acad Sci	26	42.1923076923077	40	67	28	0	75.4615384615385	77.5	155	4	481
Annals of the rheumatic diseases	Ann Rheum Dis	110	24.5181818181818	23	72	10	0	133.645454545455	126	397	1	575
Annals of vascular diseases	Ann Vasc Dis	97	61.8762886597938	62	133	21	0.0618556701030928	82.9381443298969	81	210	2	106
Annals of vascular surgery	Ann Vasc Surg	558	57.9659498207885	53	360	1	0.111111111111111	129.838709677419	112	893	1	565
Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur	Anthropol Anz	12	161.916666666667	135.5	267	82	0.833333333333333	173.916666666667	158.5	320	75	60
Anti-cancer agents in medicinal chemistry	Anticancer Agents Med Chem	54	11.5185185185185	5	108	1	0.0185185185185185	113.685185185185	101	281	19	229
